# Wavelength (m) ,Observation: 19909,Observation: 27028,Observation: 16652,Observation: 31458,Observation: 47548,Observation: 21100,Observation: 11768,Observation: 36969,Observation: 36656,Observation: 14915,Observation: 16766,Observation: 18197,Observation: 30915,Observation: 41090,Observation: 48054,Observation: 39451,Observation: 36999,Observation: 23674,Observation: 23095,Observation: 30768,Observation: 31991,Observation: 31544,Observation: 38008,Observation: 16076,Observation: 43937,Observation: 42251,Observation: 36537,Observation: 15338,Observation: 23522,Observation: 47565
0.00000066,123.9835274456,148.2134801336,132.5249097352,141.7311494167,112.2530458099,121.6903044783,131.5543790207,134.425580679,109.1877620864,106.4562658071,163.9673518318,147.0069637959,117.8943114029,121.4272666651,112.1645504685,142.2379910371,141.2451977041,157.0048970481,142.5403569659,90.7699318936,90.1417567652,126.0232155693,130.6959267377,125.2299496492,97.2384465923,112.6182186416,105.657392076,129.5571306483,161.5699190475,131.1729345169
6.601E-07,127.5610931453,144.8802669711,138.8174855773,130.9214606494,120.5732112942,116.898881699,127.278179414,129.6045822676,103.9475591112,98.1701334156,161.2455577884,142.1246990641,117.5045051283,135.144338295,109.4039390214,145.1170940481,140.1861617444,133.3088762998,136.1000849142,99.9996387287,110.8148360324,123.7235221135,134.0010966722,130.3541764185,103.6381678994,106.9247064423,108.6966971589,140.9565745045,155.9636050314,144.3687412698
6.602E-07,133.770539724,147.5213819726,128.3884417037,136.4596056726,121.483992522,120.274168804,136.0325867741,121.9821339394,109.2299748161,104.5440532771,149.1150778713,145.3570595098,118.2433146523,133.5040724524,117.8961647456,147.5851994604,122.9502487511,138.7218377417,139.8878252642,108.7275458971,117.3675858384,126.2946770111,133.5568400561,139.4685080894,105.1565662418,109.3795674086,95.209597684,139.5929547901,174.6148140191,132.7841216677
6.603E-07,129.9500755104,147.8932633234,137.85781045,130.5929854471,119.3433091238,124.7324694942,117.8089322231,116.3780501678,108.7467148492,105.7069027566,161.8986053388,139.9617789034,117.9200039841,122.2940752543,108.3835881707,135.4681885519,130.856124978,150.0132182589,148.9099131278,100.8189082206,108.0643396149,134.4035881261,133.2459906883,131.8129971072,92.0019936469,115.037039948,110.0320774676,137.8233999347,168.5085713999,152.6919537642
6.604E-07,141.6550163707,144.5281566786,137.0041889631,136.1925221548,112.2362665377,121.1527377031,133.7031539067,125.9190346421,106.1732223286,103.1954577168,161.9869621893,142.4339935376,121.8129014748,140.3274330663,98.2440973288,136.0061518232,139.4870046711,157.2943357132,128.5561546123,101.9999043387,108.0954248424,124.4765372656,137.5518433862,128.9358817791,107.1890141389,111.9695893139,97.3711181464,122.4411624643,158.2427286581,135.6733419407
6.605E-07,124.3761590956,152.8693652057,137.0244484323,152.4983342087,127.453089855,109.9967438824,125.3391295791,129.9476183627,108.4088673494,99.6988832332,160.8734384112,140.1192118381,122.0670930113,136.4321273684,109.4963619782,135.8931144773,129.2724758462,159.1051333762,140.2308599247,101.7350193673,93.3852843162,125.8255595513,135.5257730283,139.5801752943,103.2777791548,111.3257351995,103.6392652947,143.4008446616,164.5717128554,138.5226936668
6.606E-07,123.9450432089,143.4132068101,126.5464984113,139.6145569469,117.8301636014,119.9120645666,123.4590053691,126.0824673842,104.7478932006,100.7116529948,169.5501766263,153.8106708106,121.5830078363,146.9947032311,115.3155067764,146.9093968425,127.7049628786,138.6165156179,134.814215155,93.1205770853,115.3642252925,127.1334733479,130.3186559278,132.7413702031,102.7331357243,106.6476396428,104.226893744,131.0775187654,158.4328962955,138.2144126544
6.607E-07,139.2453583482,148.332065413,136.8304546705,131.8572120071,124.8517635418,114.0820803286,126.279192721,130.6086859159,101.1140185105,110.2150434558,156.719803014,147.5521760036,111.5779130709,126.50101941,103.9391801988,139.3475631026,134.8822776833,159.9728310585,148.0019230275,104.0403655318,108.4982662691,124.2572019188,135.8301599954,139.7413832484,106.3092906465,107.980184563,106.4785127037,140.479431874,167.0036633487,134.4780944578
6.608E-07,128.3948249344,149.2503419273,132.0907667354,148.7841993062,116.045228222,116.5104328698,137.7898938579,128.0818008079,107.1027321857,103.9701376398,165.9410064834,144.2959010518,123.1020823066,130.5232038171,106.1589847269,139.1683976111,133.7760815664,141.9964180744,136.2629930797,108.7013590493,107.529264978,126.0779594922,144.886352842,140.139975341,101.4675696679,101.7070572757,99.7879840095,121.3587861391,179.603672906,156.2889721614
6.609E-07,116.7451953282,146.0315422932,127.2648515142,134.3681602316,116.7621403256,113.2474523893,130.6305015456,118.2577587094,108.739084286,103.3593709807,155.0776153786,148.4326756642,116.6189579552,127.8788062758,105.4648911831,147.5058685697,129.9747605538,148.5457793772,136.5703495454,90.2403224652,109.5570693585,120.9490752612,127.507647132,136.5964697282,93.4392461037,108.6927465259,93.1017302585,132.0643013692,160.4692772636,142.8106459878
0.000000661,126.3116624922,144.8320861444,126.7053178573,130.0284399191,118.9080385251,120.1241793587,127.0200987813,125.3624425598,103.5437060247,100.5572932367,154.1815318629,148.4167524243,108.8585036035,126.8803938701,96.3804183905,139.8733383501,129.5562396623,142.4075439628,142.9129942452,98.9440355029,111.8306539402,132.654530249,132.579357642,141.9870574824,97.9169138717,120.5579386997,107.630105537,132.3940716067,166.1896563982,134.0860643237
6.611E-07,125.6558499344,136.0425942714,125.6395812792,136.0794592542,124.290854748,120.4620908198,132.0289764965,125.3811610919,111.2409807486,109.8800628882,164.7315714371,151.8331380741,117.9710749971,140.0489929635,107.0057369172,151.2829982147,132.0316416782,149.8459361479,140.7470554814,97.4137901014,114.496118452,124.021132968,144.7159590786,144.5545697935,99.1332596867,117.109685122,102.1032532512,130.7807153517,161.2569699573,142.2575276439
6.612E-07,118.2092846509,134.2046412766,131.6684425859,124.0998941357,106.1198702553,120.2606143192,118.7531523335,121.0902056788,111.0109259133,108.5296839131,156.564779912,139.651791328,118.9358537769,133.231876463,98.3060344423,142.640808799,135.5250978448,148.8048176638,139.5908648818,93.5406120228,104.6920766233,132.5386689037,138.8007058499,125.7602256464,102.2954296743,105.3933882206,107.6395138148,128.6865314465,156.3352130588,136.0802269121
6.613E-07,127.1350371118,145.1465648564,135.9147380449,148.3837226114,115.183914326,116.8363741558,130.8413561622,126.1369185525,118.6381250253,108.8601636701,171.6030046998,140.5835312791,116.7205851541,134.4908263724,101.0852871012,138.8933029783,123.0305217174,158.2915281891,140.8810643259,109.7994802668,120.4238501683,124.6402254136,124.3354328432,130.1654122275,102.2000207589,111.4418341851,106.2312965367,134.6857119058,171.384784674,145.1630074843
6.614E-07,135.0439441097,141.7867631101,136.5336368071,144.9283536661,117.8540276262,107.0214658995,132.1304711691,125.7058709045,116.1010190013,99.8905887541,159.7396579516,148.4891732179,118.4395002975,138.8076790677,102.5560421218,148.7879200305,131.5580718928,140.8244302887,127.9686019291,101.2763534812,100.6992810734,126.2372914804,132.8897841079,132.8108320719,102.1402128422,117.0404344974,107.526798681,140.7182881699,172.088620353,134.723134004
6.615E-07,125.4827990883,141.0636299175,136.5529523488,133.1233052803,126.8391383129,118.7713681342,121.1673338577,118.2127599241,104.6569080579,100.3869267465,154.5631360935,152.2933041243,116.1977402069,135.7590841695,114.3245343341,152.1941934177,126.617601509,150.875818875,131.8962408669,102.4460960426,125.0476323821,127.5236830391,129.2336947985,128.9498809243,107.9152458114,104.2969290159,102.8228206079,141.9623216568,163.4667426229,142.5072712868
6.616E-07,132.3899868193,146.8260165006,133.1707987089,139.3315469558,121.6959030914,114.6474272065,128.5301790591,127.8112462013,104.5829828333,95.8001920123,169.7417993969,147.6636072873,128.8537971104,131.742483052,95.5025963392,134.4843707842,140.2536140282,143.0749664716,132.6987222513,92.601824836,104.8076410137,120.9313348373,133.0756470878,135.4064803452,103.9483499343,109.1399223308,112.5393386122,133.6364315173,171.9320168778,142.0666949705
6.617E-07,122.1254323521,152.6783376082,130.8019965371,125.5912767974,120.3447986524,125.0714937362,115.6256803594,124.7317261507,118.3968308832,106.2068589131,160.4356053148,153.9368646879,116.5884783224,135.0005123018,101.2660264294,151.5130430676,130.8189678279,157.7232279681,145.9217544627,100.6375230031,110.8659073455,127.9253438789,137.3030634433,143.7759118422,107.6291126064,111.4792219261,104.0905243744,131.62356254,172.0713865358,144.3600893787
6.618E-07,129.4153741402,145.9633469549,135.0413513725,145.2918039687,120.9875773294,118.8478293196,131.731982489,129.3665770043,112.8486704727,102.3390845582,162.3973550485,150.5598399556,107.9864942391,138.3809858766,104.5145818029,136.7857875096,126.0923254491,144.1027407806,144.0118028454,94.8053737819,116.7958608274,122.5021021885,126.8620137443,143.4545151872,112.5639435014,111.5018604898,114.249656983,122.3522650051,176.5487917778,135.7840342869
6.619E-07,122.6083692286,137.1804278787,138.1932899411,134.1784722563,127.8335352659,113.8397084938,130.1827635421,129.7647646331,104.3467085061,103.4894534763,155.9506305311,150.5302186702,112.7677359689,131.7657164944,104.6243205191,138.7240508424,124.7816889926,144.1064343294,132.7628317269,101.1512260293,107.6235143621,128.8221904989,142.4858023298,129.8373970516,101.9481551982,119.4585530541,91.1375218186,138.4102699031,171.2703521727,145.4952376076
0.000000662,134.9581108992,143.3143599455,131.048653975,142.8613277769,126.8664130005,112.2980449738,126.8560211376,136.0051785256,112.4806938177,114.9009978561,166.3126973292,146.4638109687,103.4563398767,139.0822367517,102.8667328102,133.3765982864,127.1600795275,154.34670827,131.4625949261,100.3992517202,110.5101948368,122.7123835718,126.0594092214,146.0186080575,105.082829665,110.3155257663,103.2719973638,126.8481289548,174.3631192618,142.8982445087
6.621E-07,126.1346104781,158.3816024901,138.7083273728,135.3360475312,122.9839592569,118.777794321,131.167038951,125.2460930735,129.5867551629,103.4118015475,158.9875156666,148.0254896272,124.4937848621,131.1891275063,102.4294845325,143.2792348989,130.61824324,162.4647981772,139.1901375894,95.2673881085,106.2222737458,113.3656710292,114.2224393555,138.6380839782,104.5371737264,106.9056583702,114.9688005358,135.9071052402,167.4944799525,146.2839289436
6.622E-07,126.4142768704,141.4833325425,128.4984289021,135.1175277456,113.1278504832,120.5578323051,125.2500176088,123.332811809,109.6315703075,104.4381793661,161.7472359567,142.3321026844,103.7780615914,126.4395625009,106.7175319974,129.4926791986,126.2011387304,159.7446838435,135.9664132455,95.435118671,102.4655957129,128.558088591,139.1353701716,140.7001062071,100.838872414,115.4637492224,92.0107805587,136.9491160556,168.9397700886,140.6909965127
6.623E-07,118.3248113483,147.4001585194,130.4736941294,136.4538305041,122.8410703889,105.0691630165,128.7874424798,128.0272028947,109.986066827,103.8584245876,152.2660807277,137.2467856581,111.9879735652,137.9201743085,107.8006881804,139.139088691,123.2539552474,142.4046795691,129.7773118215,104.0278461565,119.4532954983,129.309821994,131.1638496051,136.1728231737,106.9840596772,109.3995187927,98.1483455615,129.574850603,182.792511074,156.5494905246
6.624E-07,118.4849422789,143.0213293177,132.386714282,135.8555890235,124.5954201534,107.2202516433,130.3444073446,123.0826767385,117.487106559,96.1065102229,168.1941253777,141.1839855572,111.8053738855,126.2556871771,103.8818063102,141.0558407761,132.1177932542,149.8948412059,133.675152732,104.8484425016,117.6989742726,118.7003006384,131.3814610004,135.9615905852,110.5959940931,110.3429476722,110.079507811,137.8577873302,167.453895892,139.4653210406
6.625E-07,130.3256013389,147.420162919,131.7390864181,142.630389178,118.0168702558,123.5772696907,123.6814692472,123.4657871956,110.6435526263,96.7452653558,162.3986510905,152.3393345094,127.3523498978,138.2841959233,99.4504107013,141.2548720848,130.6741783853,153.9681383346,141.8471117802,102.4435666971,107.3563974968,126.1629285285,127.2268727416,138.6838389757,101.1945519779,100.7076212037,109.0186786902,137.0070977088,162.4454327515,147.227490824
6.626E-07,130.0550659911,160.0818574904,124.8950380862,133.522515557,109.8209712029,120.2521340275,122.5488418973,128.0500047746,114.7088125592,104.7274957096,166.0659338407,147.645034646,116.2939606453,138.1294067269,98.4373118265,148.1334045429,107.061576456,160.0647215439,139.5947946283,100.8331396067,116.3668632698,123.0590976304,134.2262797136,142.5643441467,106.2444027314,110.686497885,110.2988194218,130.4105827776,169.3769750566,142.7760810966
6.627E-07,124.791439179,151.8026040124,126.2108660819,140.229225155,136.2079954233,111.3885410131,125.9043906197,119.9330240152,115.0716749215,110.057309081,164.5188329347,150.9753187355,114.0718488519,140.9174021396,92.9625984515,147.4258234003,127.0860280302,151.4594515412,129.8732729482,89.6346926766,108.4933137316,133.3959374718,135.0929844268,128.0202892246,103.0818533939,118.5833816886,114.5383020436,139.2249978878,176.9436976796,148.2597440417
6.628E-07,133.6476011593,145.2256186405,134.1817174067,139.3453313084,120.8669939521,118.2982775268,138.71709464,119.350795172,113.826000626,110.3414002772,158.5344351332,162.6046214807,108.8556526259,130.4666661877,109.3744344383,135.6246424157,129.9497788034,145.456944193,129.0867201832,98.4692922454,106.4338735475,129.6170861545,128.494348449,136.7319628025,93.8376019404,117.2311828766,105.8715202666,152.9981204356,161.5723550327,138.667767151
6.629E-07,124.9434345488,147.7129907787,135.5407506622,138.6109465369,112.9061313603,122.3504040609,137.4013028832,115.4234157458,104.9376981768,96.7739702528,154.0617277036,141.1972012869,117.7110741089,132.1509385824,107.7825356768,135.7472721686,130.2526316711,149.8201617867,141.9117355252,93.1869313345,110.0709968541,120.9359292871,130.5469401863,138.0868427333,108.2995437169,112.4904516239,97.4727894667,132.0928319134,175.389204633,146.9882310603
0.000000663,122.8174107056,156.3463611549,121.5015016637,132.228394015,125.980859217,123.9536094807,131.1003396424,119.4038629134,112.7778351487,99.8404017667,162.2614678227,152.1649828771,126.9391459604,130.0937135415,102.9370093198,146.509841376,129.9517878209,145.0327095496,128.2270168901,99.0305987072,112.3095181893,121.8553612201,120.4164701846,133.9190717579,98.6931980323,129.7946140913,99.0734418095,137.4097718833,176.8828177245,149.5506839078
6.631E-07,127.542947201,145.5350410406,127.6370432168,132.738100398,118.4504734892,118.2373549381,139.2972132166,122.5924178287,114.6103979473,101.5614513025,173.8808839254,143.4299126992,118.8538572608,127.4898780346,96.8931884132,146.7229775251,128.0898793878,150.8140020591,141.6277771749,102.3699515009,107.8969869231,122.0494652251,121.2373932151,130.7038580852,112.7941414586,105.5340102316,109.6635208218,141.2351571565,171.1353685112,149.2737162209
6.632E-07,130.1109239992,149.7965733082,120.4525612489,144.2710543731,115.7941828855,116.5852273974,137.6172894342,121.0854724571,98.3400014671,103.3196339996,165.995495109,142.8397116053,112.6256950286,130.957991479,91.554502455,138.9681173635,133.1012666993,150.336117523,145.7901929265,106.0490042786,120.1319149741,124.3370346491,140.9201946977,147.598900157,114.5800841243,107.4998475121,105.4833444389,142.6244105151,165.5532671383,151.1474473231
6.633E-07,131.2778170978,154.3310463922,130.5545556627,128.1718750219,116.7627648637,115.4955568198,134.8753572615,128.0366949548,105.2456514929,102.836508619,166.9300030001,138.5939841879,125.5650082986,128.2989694363,101.3648076694,130.5250258742,130.5488289905,159.5715190045,135.7099952187,95.006525818,107.9385800345,128.21757818,124.2823618427,127.050926523,97.3135074599,106.6582718075,100.4058609724,138.3612704132,171.3871959694,139.7698445028
6.634E-07,121.0329796621,150.8713607902,130.0283417343,147.644544871,115.6190438291,116.3476426981,132.3326216945,130.4403276324,111.2297342134,101.6119675902,169.054850226,136.050735161,119.2628243001,128.7242870313,105.9937097844,135.5191944531,121.6850373564,157.5264018529,142.7395551573,95.0510850849,118.0501457497,135.5161605684,128.7039694746,143.434814726,96.6975777405,114.4572895791,98.6455810734,137.685126526,172.6437360797,143.2547617717
6.635E-07,133.1119145822,145.5523814134,126.1366787748,150.9065996956,129.3364656369,119.8015819107,129.6046612661,122.7751359116,110.8194996667,95.4111232861,172.9413299922,133.1806294223,119.9285169524,138.4686133056,114.264830369,133.8478484423,130.9125973316,149.4340057369,131.8870845744,103.5773147069,111.5543459963,140.638051835,137.8835667971,137.894433975,101.4699145713,114.5507551272,108.0887133445,141.9134494709,180.1156531503,151.1243897719
6.636E-07,122.7956659909,150.829333273,121.9454903654,136.9522651605,121.6407506948,108.7204691966,128.9815694578,109.503544191,122.128494708,107.4969511867,167.6296418491,144.5365965221,110.1335079147,125.6399187203,114.8529221234,134.6296072645,134.2652170606,159.3120053295,138.9599063286,102.706208795,114.9176919824,116.1212832253,136.2724373874,145.3171094958,113.9764157282,107.1284322473,101.4938973823,119.2186765938,178.1057567274,144.2257052054
6.637E-07,138.2381179913,148.2134364146,135.9674414055,126.3419675128,122.0054133202,120.1448405112,136.725627752,117.1502546379,114.7352064813,105.8069063554,159.7995760569,153.0757135127,113.7062898097,124.2586689594,101.8698494611,137.4275937251,123.3200150575,155.1087195353,126.6610377181,108.7409075556,114.4294227001,131.8020331594,129.2963196022,147.6720977357,106.1138918349,108.8985077264,113.4247065152,142.9449972676,175.9565087873,146.7762134611
6.638E-07,127.7203501171,149.9714856706,131.0281813149,147.0196899358,114.1771014822,116.8730910013,128.4492684637,121.4790136031,109.291381877,103.8118950411,158.0193813249,140.7084165851,126.4327908783,132.6138952546,98.2433334508,127.6325608005,131.9739546074,143.4316488897,143.4234389405,98.1956269987,108.1887253525,128.4850930614,125.4521382951,130.2693461475,94.5983810962,107.1923890494,107.6698727125,122.9900191227,169.4122179826,137.7314864325
6.639E-07,124.0071957573,152.6012531646,127.3582830984,133.3547507905,128.2121927307,124.2205613776,120.0101017673,119.7742769295,110.1713171326,101.9367325911,156.7077318818,138.4178718677,119.2358635427,132.8814994207,110.7326048626,138.3529556979,135.0186775525,154.4325313208,133.6388577761,101.4295082729,103.2920153428,111.7728657605,120.4269985743,138.2263757752,92.1602970761,107.1522526926,106.5442123885,137.6555063305,179.6168075801,143.3103008582
0.000000664,124.472486804,148.315925067,133.7010597771,138.4094434555,118.4094337521,110.2253556456,141.6376729057,125.2152293738,110.9953641466,100.9939093179,167.2225817877,138.554987652,127.2738495554,138.2847196449,114.2612606955,131.3885056353,125.7905096491,158.6729918883,140.3193550002,89.4366907837,111.983377763,120.2110505817,137.811938036,129.984784004,94.8096800138,114.1876171079,113.5427284827,132.8383605807,178.306691081,149.7611502402
